series,unit,shape_name,target_depth_mm,report_sample_target,trial,sample_count,min_value,min_elapsed_s,max_value,max_elapsed_s
load cell,kg,systemtest_circle,-2.500,10,1,10,-0.000285,8.330,0.083935,4.130
pressure estimate,kg,systemtest_circle,-2.500,10,1,10,0.001500,0.000,0.085374,4.130
force error,kg,systemtest_circle,-2.500,10,1,10,-0.002500,7.560,0.005500,3.430
distance estimate,mm,systemtest_circle,-2.500,10,1,10,0.000000,0.000,2.478992,4.130
mean dot deformation,px,systemtest_circle,-2.500,10,1,10,0.000000,0.000,4.966006,4.130
max dot deformation,px,systemtest_circle,-2.500,10,1,10,-0.049457,8.330,7.232055,4.130
contact peak,ratio,systemtest_circle,-2.500,10,1,10,0.000000,0.000,0.971765,4.130
contact area,percent,systemtest_circle,-2.500,10,1,10,0.000000,0.000,9.915966,4.130
