series,unit,shape_name,target_depth_mm,report_sample_target,trial,sample_count,min_value,min_elapsed_s,max_value,max_elapsed_s
load cell,kg,sample,-2.500,10,1,8,0.001353,1.697,0.001455,0.000
pressure estimate,kg,sample,-2.500,10,1,8,-0.246941,1.335,-0.242740,0.825
force error,kg,sample,-2.500,10,1,8,-0.248396,1.335,-0.244195,0.825
distance estimate,mm,sample,-2.500,10,1,8,0.000000,0.000,2.636303,0.675
mean dot deformation,px,sample,-2.500,10,1,8,1.626585,0.000,1.626585,0.000
max dot deformation,px,sample,-2.500,10,1,8,3.162278,0.000,3.162278,0.000
contact peak,ratio,sample,-2.500,10,1,8,0.156386,0.000,0.156386,0.000
contact area,percent,sample,-2.500,10,1,8,47.641614,0.000,47.641614,0.000
